race,stench,sound,heat,intelligence,height,weight,strength,alignment,flight,bribe
orc,24,16,5,7,333,344,2327,evil,0,
lizard,16,20,2,14,231,134,887,evil,0,
orc,21,19,10,6,335,368,2306,evil,0,
lizard,21,10,-1,10,210,146,887,evil,0,
wingedrat,15,17,22,10,158,221,1079,evil,1,
lizard,16,11,4,12,217,146,881,evil,0,
human,11,13,9,15,221,109,329,neutral,0,138.0
human,17,10,13,17,222,91,300,neutral,0,132.0
human,14,12,12,17,212,111,319,neutral,0,138.0
human,10,12,9,24,239,95,322,neutral,0,159.0
wingedrat,9,11,13,8,158,196,950,evil,1,
wingedrat,11,10,21,17,147,205,969,evil,1,
human,13,11,13,16,227,96,309,neutral,0,130.0
halfling,10,5,14,21,138,116,185,good,0,
lizard,18,8,3,12,199,130,808,evil,0,
halfling,9,8,11,12,114,115,172,good,0,
human,16,9,11,23,217,90,296,neutral,0,146.0
wingedrat,19,17,14,16,180,186,1033,evil,1,
wingedrat,17,12,15,9,169,224,1111,evil,1,
orc,19,24,13,10,343,308,2076,evil,0,
orc,19,16,11,13,359,326,2137,evil,0,
wingedrat,14,16,18,10,150,216,1004,evil,1,
orc,21,19,10,13,327,292,2102,evil,0,
orc,18,20,11,11,335,359,2473,evil,0,
lizard,22,15,9,14,217,125,826,evil,0,
human,8,11,10,21,216,94,306,neutral,0,151.0
halfling,13,9,12,11,134,89,156,good,0,
orc,25,19,11,5,333,350,2227,evil,0,
wingedrat,12,15,15,9,167,217,1075,evil,1,
orc,18,15,17,3,345,321,2193,evil,0,
human,12,14,11,22,218,97,307,neutral,0,147.0
human,8,10,9,14,230,104,336,neutral,0,130.0
human,12,11,14,19,212,98,316,neutral,0,140.0
halfling,12,6,16,16,135,118,185,good,0,
human,14,17,11,21,228,113,343,neutral,0,146.0
orc,21,13,8,12,354,355,2427,evil,0,
human,15,13,8,19,225,109,336,neutral,0,140.0
lizard,11,17,-2,8,229,134,901,evil,0,
orc,19,18,5,10,338,342,2315,evil,0,
wingedrat,13,9,15,12,162,224,1084,evil,1,
wingedrat,21,17,13,16,160,211,1075,evil,1,
wingedrat,13,13,14,10,153,248,1174,evil,1,
halfling,7,5,14,16,116,83,141,good,0,
lizard,18,13,-3,8,203,128,803,evil,0,
wingedrat,7,15,17,6,164,222,1051,evil,1,
lizard,18,17,-1,12,234,141,920,evil,0,
human,10,10,12,16,199,106,313,neutral,0,136.0
orc,19,18,12,12,312,360,2403,evil,0,
human,9,13,11,18,233,106,322,neutral,0,142.0
halfling,11,6,15,15,125,135,197,good,0,
orc,24,13,9,9,358,301,2215,evil,0,
lizard,16,10,1,11,227,124,810,evil,0,
wingedrat,15,21,16,8,182,198,992,evil,1,
lizard,12,15,0,7,210,122,775,evil,0,
wingedrat,15,12,15,15,160,185,957,evil,1,
lizard,12,7,3,12,233,143,899,evil,0,
halfling,13,7,15,16,103,121,172,good,0,
human,15,15,13,16,239,101,325,neutral,0,128.0
orc,20,24,9,11,346,322,2167,evil,0,
human,11,12,14,24,211,101,311,neutral,0,155.0
lizard,21,17,-5,14,231,149,978,evil,0,
halfling,14,8,12,15,114,96,153,good,0,
halfling,12,12,13,17,135,82,149,good,0,
human,11,8,12,16,228,111,335,neutral,0,135.0
human,14,11,15,14,240,99,332,neutral,0,130.0
wingedrat,16,14,14,16,161,177,889,evil,1,
wingedrat,12,15,13,12,151,183,904,evil,1,
human,16,14,11,15,225,104,328,neutral,0,130.0
halfling,12,6,14,18,108,89,143,good,0,
halfling,16,12,11,19,147,112,185,good,0,
lizard,16,14,-4,8,217,151,856,evil,0,
wingedrat,17,13,17,12,146,247,1087,evil,1,
wingedrat,14,11,14,13,144,178,944,evil,1,
lizard,18,14,0,11,215,115,812,evil,0,
lizard,22,18,2,11,214,136,856,evil,0,
halfling,16,8,12,15,116,108,166,good,0,
lizard,23,16,4,13,222,119,851,evil,0,
human,11,11,8,23,225,113,340,neutral,0,151.0
lizard,18,17,1,13,202,132,842,evil,0,
wingedrat,18,19,11,13,152,214,1058,evil,1,
human,12,18,15,16,224,110,332,neutral,0,141.0
orc,25,21,9,13,345,356,2302,evil,0,
lizard,19,15,5,16,211,135,804,evil,0,
orc,19,17,12,6,325,307,2136,evil,0,
human,13,18,12,20,234,114,350,neutral,0,144.0
orc,19,17,12,9,322,313,2087,evil,0,
lizard,11,7,8,9,218,135,902,evil,0,
halfling,14,12,15,18,105,113,165,good,0,
orc,17,24,13,6,335,343,2191,evil,0,
orc,21,14,2,8,370,366,2458,evil,0,
wingedrat,14,18,16,12,145,223,1026,evil,1,
wingedrat,17,19,14,10,140,183,893,evil,1,
wingedrat,12,13,18,7,149,226,1114,evil,1,
orc,20,23,14,7,335,306,2108,evil,0,
human,14,9,9,18,220,101,312,neutral,0,138.0
lizard,15,15,3,13,236,132,902,evil,0,
human,12,12,16,24,234,102,332,neutral,0,154.0
orc,20,18,6,13,293,351,2183,evil,0,
human,17,11,6,22,229,101,323,neutral,0,141.0
human,11,14,14,21,219,86,297,neutral,0,147.0
lizard,13,17,3,12,220,106,793,evil,0,
orc,22,22,11,6,335,332,2219,evil,0,
human,10,11,14,22,225,100,335,neutral,0,151.0
lizard,25,11,5,17,218,122,819,evil,0,
human,10,9,13,24,229,106,327,neutral,0,159.0
lizard,15,12,2,8,212,118,749,evil,0,
lizard,10,12,3,14,211,149,862,evil,0,
human,12,13,12,22,236,99,321,neutral,0,152.0
orc,20,9,14,7,340,306,2069,evil,0,
wingedrat,14,12,13,15,153,180,879,evil,1,
wingedrat,16,18,15,12,151,212,1034,evil,1,
wingedrat,13,11,12,12,148,217,1034,evil,1,
wingedrat,14,16,14,12,144,217,981,evil,1,
halfling,11,13,17,11,126,115,178,good,0,
halfling,12,11,14,12,146,91,164,good,0,
lizard,15,19,0,7,227,131,830,evil,0,
wingedrat,15,21,11,13,141,202,968,evil,1,
wingedrat,8,18,16,12,148,224,1045,evil,1,
human,15,13,7,21,232,103,328,neutral,0,147.0
halfling,12,11,7,14,125,88,150,good,0,
wingedrat,15,17,10,7,151,220,1062,evil,1,
human,15,15,9,17,214,98,290,neutral,0,135.0
halfling,13,3,9,20,142,81,152,good,0,
human,13,7,6,20,230,98,301,neutral,0,142.0
wingedrat,12,15,12,14,167,194,992,evil,1,
wingedrat,11,19,17,13,160,189,948,evil,1,
human,16,12,13,13,222,110,335,neutral,0,122.0
halfling,11,11,9,15,118,83,142,good,0,
halfling,12,3,16,17,143,104,175,good,0,
lizard,19,14,-5,14,217,128,866,evil,0,
wingedrat,15,12,16,11,150,222,1029,evil,1,
human,16,11,10,16,234,112,338,neutral,0,133.0
orc,15,14,9,10,335,315,2206,evil,0,
wingedrat,15,15,15,12,145,223,1025,evil,1,
lizard,9,17,-5,14,226,129,835,evil,0,
halfling,11,9,11,15,122,107,168,good,0,
orc,16,16,14,12,350,337,2271,evil,0,
halfling,11,11,11,12,122,107,168,good,0,
wingedrat,18,10,14,14,149,202,1009,evil,1,
human,11,14,16,19,229,94,319,neutral,0,149.0
orc,19,11,17,8,323,326,2215,evil,0,
wingedrat,15,17,16,8,137,202,966,evil,1,
orc,22,15,12,13,346,345,2403,evil,0,
human,15,11,15,15,222,105,322,neutral,0,130.0
wingedrat,12,14,17,8,159,193,967,evil,1,
human,12,4,11,18,193,101,290,neutral,0,134.0
human,12,13,8,13,237,102,323,neutral,0,129.0
human,13,16,14,22,225,89,297,neutral,0,152.0
lizard,18,14,4,8,216,122,797,evil,0,
lizard,21,15,-4,12,215,118,762,evil,0,
lizard,18,18,5,8,219,102,774,evil,0,
halfling,4,13,11,16,131,97,162,good,0,
lizard,18,14,3,8,222,128,803,evil,0,
orc,14,18,14,15,342,319,2239,evil,0,
orc,15,16,7,8,345,347,2203,evil,0,
wingedrat,20,18,16,13,185,212,1045,evil,1,
wingedrat,10,14,18,15,143,214,1004,evil,1,
wingedrat,15,18,22,10,188,219,1160,evil,1,
human,14,18,12,23,215,98,307,neutral,0,152.0
lizard,17,15,3,17,215,135,889,evil,0,
human,17,15,10,22,219,111,321,neutral,0,144.0
halfling,11,6,16,15,134,106,173,good,0,
lizard,17,14,3,17,220,125,823,evil,0,
halfling,12,10,16,15,126,106,169,good,0,
orc,20,24,8,11,303,356,2303,evil,0,
orc,20,23,12,5,348,331,2310,evil,0,
wingedrat,14,15,14,15,160,191,918,evil,1,
orc,17,18,9,10,352,299,2186,evil,0,
wingedrat,18,12,16,10,160,180,933,evil,1,
lizard,20,12,8,8,233,116,760,evil,0,
orc,14,16,9,6,325,321,2111,evil,0,
wingedrat,16,16,19,16,147,182,920,evil,1,
halfling,14,10,6,14,133,97,163,good,0,
wingedrat,12,12,13,12,138,213,936,evil,1,
human,8,9,15,23,220,103,324,neutral,0,152.0
lizard,19,16,1,10,239,131,895,evil,0,
lizard,15,13,3,9,223,128,844,evil,0,
halfling,12,10,13,14,113,91,147,good,0,
halfling,11,8,18,15,139,79,148,good,0,
orc,21,22,13,3,395,330,2425,evil,0,
halfling,9,11,15,12,123,98,159,good,0,
human,16,11,16,18,212,108,315,neutral,0,136.0
halfling,11,11,13,10,133,114,180,good,0,
human,11,9,9,17,213,94,294,neutral,0,139.0
wingedrat,17,15,15,5,134,197,924,evil,1,
halfling,10,10,15,15,125,72,134,good,0,
halfling,15,6,12,20,124,99,161,good,0,
human,15,15,13,21,206,104,306,neutral,0,144.0
human,12,15,17,15,210,110,315,neutral,0,132.0
wingedrat,13,13,8,13,155,258,1194,evil,1,
halfling,13,5,10,13,128,127,191,good,0,
halfling,13,12,9,13,136,105,173,good,0,
wingedrat,6,10,12,11,161,212,1023,evil,1,
lizard,19,15,-4,11,211,126,747,evil,0,
orc,20,17,11,5,280,306,2038,evil,0,
lizard,16,17,0,14,212,124,809,evil,0,
halfling,16,7,13,15,125,114,176,good,0,
human,10,12,17,17,222,108,333,neutral,0,143.0
halfling,11,9,13,13,128,94,158,good,0,
halfling,18,3,13,14,136,115,183,good,0,
human,13,12,12,23,204,96,299,neutral,0,151.0
lizard,14,16,5,11,217,130,815,evil,0,
human,4,9,7,16,224,96,305,neutral,0,143.0
human,14,11,12,21,243,109,334,neutral,0,146.0
human,12,14,14,23,235,107,334,neutral,0,150.0
halfling,18,8,8,8,135,107,174,good,0,
human,13,15,13,19,218,106,312,neutral,0,143.0
lizard,13,15,6,8,223,155,909,evil,0,
human,11,12,13,21,239,107,351,neutral,0,151.0
halfling,14,10,16,14,99,118,167,good,0,
orc,27,22,8,9,363,310,2059,evil,0,
human,14,16,14,15,208,101,308,neutral,0,133.0
lizard,15,10,4,8,234,131,881,evil,0,
halfling,14,7,13,13,127,97,160,good,0,
lizard,13,12,2,15,230,143,890,evil,0,
lizard,17,17,-1,14,224,145,830,evil,0,
halfling,5,10,15,15,137,120,188,good,0,
human,17,14,10,22,212,86,293,neutral,0,143.0
human,9,12,17,21,219,102,311,neutral,0,151.0
human,12,16,9,20,222,95,309,neutral,0,148.0
orc,14,16,9,10,282,329,2038,evil,0,
halfling,9,13,14,18,123,113,174,good,0,
orc,17,24,7,9,344,379,2418,evil,0,
human,9,8,13,21,214,103,311,neutral,0,147.0
halfling,10,11,16,16,135,114,181,good,0,
orc,19,20,15,8,343,316,2143,evil,0,
orc,21,22,6,9,361,327,2363,evil,0,
orc,23,19,13,8,289,333,2131,evil,0,
halfling,12,8,10,14,140,121,191,good,0,
wingedrat,14,14,14,16,163,207,962,evil,1,
lizard,16,13,1,9,218,120,794,evil,0,
halfling,11,10,11,15,130,116,181,good,0,
wingedrat,16,15,14,15,175,229,1163,evil,1,
human,12,13,14,20,200,105,303,neutral,0,147.0
lizard,18,14,-4,11,213,136,853,evil,0,
orc,19,19,12,9,361,322,2252,evil,0,
orc,17,18,13,9,340,292,2128,evil,0,
human,14,11,10,18,218,99,312,neutral,0,137.0
wingedrat,20,16,15,9,157,182,946,evil,1,
orc,25,21,13,14,333,330,2176,evil,0,
halfling,10,6,14,20,121,116,176,good,0,
halfling,14,7,11,9,137,113,181,good,0,
lizard,14,16,4,5,234,125,838,evil,0,
halfling,12,13,14,19,132,107,173,good,0,
lizard,20,12,12,12,237,126,854,evil,0,
wingedrat,14,15,13,14,161,196,952,evil,1,
orc,18,21,7,14,318,374,2427,evil,0,
human,12,13,14,24,243,105,340,neutral,0,153.0
lizard,12,16,2,10,221,147,890,evil,0,
orc,19,15,7,11,308,327,2227,evil,0,
lizard,14,13,-4,13,206,132,806,evil,0,
wingedrat,11,18,15,10,175,196,1003,evil,1,
lizard,21,12,3,15,225,134,822,evil,0,
human,15,12,17,19,214,101,306,neutral,0,140.0
orc,11,17,8,4,342,372,2438,evil,0,
wingedrat,13,18,18,10,180,178,991,evil,1,
wingedrat,15,15,12,6,146,189,922,evil,1,
lizard,17,16,-2,16,210,155,900,evil,0,
lizard,17,20,-2,9,228,122,892,evil,0,
wingedrat,10,20,12,9,173,182,989,evil,1,
wingedrat,14,15,18,13,162,217,1038,evil,1,
human,9,8,10,16,211,103,328,neutral,0,135.0
lizard,20,17,2,13,227,134,907,evil,0,
orc,19,22,11,4,333,347,2314,evil,0,
lizard,21,11,1,11,223,132,893,evil,0,
lizard,17,16,0,16,215,132,813,evil,0,
wingedrat,15,15,15,9,142,173,846,evil,1,
wingedrat,14,16,17,12,147,202,995,evil,1,
human,18,9,14,18,219,98,294,neutral,0,129.0
human,11,13,14,14,238,106,325,neutral,0,133.0
lizard,19,18,8,9,225,152,932,evil,0,
human,14,9,8,18,237,102,344,neutral,0,133.0
halfling,14,10,17,18,113,125,181,good,0,
lizard,20,18,1,6,216,145,920,evil,0,
wingedrat,12,16,17,17,170,198,998,evil,1,
lizard,21,10,3,15,215,130,796,evil,0,
wingedrat,10,17,18,7,145,194,923,evil,1,
wingedrat,13,17,13,13,171,233,1083,evil,1,
wingedrat,19,15,16,15,148,239,1114,evil,1,
lizard,22,13,-1,17,213,135,874,evil,0,
human,10,17,9,25,210,123,351,neutral,0,158.0
halfling,13,16,10,14,142,108,179,good,0,
orc,20,12,14,9,341,334,2232,evil,0,
human,17,17,12,15,228,111,333,neutral,0,128.0
lizard,14,9,7,16,235,111,826,evil,0,
halfling,14,16,10,16,116,101,159,good,0,
halfling,13,11,11,16,132,100,166,good,0,
human,13,16,12,18,233,105,335,neutral,0,140.0
human,14,12,12,20,229,107,327,neutral,0,145.0
wingedrat,13,17,12,11,175,202,1040,evil,1,
wingedrat,17,17,11,14,144,208,967,evil,1,
halfling,12,9,14,12,120,113,173,good,0,
wingedrat,16,9,9,16,143,201,972,evil,1,
human,12,10,14,21,217,94,302,neutral,0,145.0
orc,20,23,16,5,327,330,2123,evil,0,
orc,18,23,-1,15,317,368,2284,evil,0,
wingedrat,11,9,18,12,169,258,1256,evil,1,
human,12,15,15,20,219,91,299,neutral,0,143.0
orc,22,21,10,10,334,346,2284,evil,0,
orc,13,15,12,8,329,338,2278,evil,0,
orc,24,22,12,9,369,352,2398,evil,0,
human,15,18,9,22,212,110,325,neutral,0,148.0
wingedrat,16,20,13,15,158,219,1028,evil,1,
orc,18,23,8,10,298,310,2077,evil,0,
wingedrat,10,7,11,14,163,219,1068,evil,1,
lizard,14,15,0,16,208,126,798,evil,0,
halfling,13,4,11,14,131,120,185,good,0,
halfling,8,6,13,21,142,89,160,good,0,
wingedrat,14,16,15,13,160,196,997,evil,1,
lizard,23,16,0,16,245,123,860,evil,0,
lizard,21,11,3,11,226,120,820,evil,0,
lizard,20,16,3,10,223,126,834,evil,0,
halfling,11,6,11,13,118,105,164,good,0,
wingedrat,20,13,14,9,155,174,889,evil,1,
human,11,15,12,21,200,100,305,neutral,0,151.0
halfling,12,11,9,14,140,103,173,good,0,
lizard,19,13,4,15,211,126,836,evil,0,
wingedrat,15,16,18,8,155,247,1097,evil,1,
orc,16,20,11,8,369,337,2334,evil,0,
human,13,14,11,11,218,103,318,neutral,0,123.0
halfling,14,5,13,15,143,99,170,good,0,
wingedrat,11,12,18,6,145,218,974,evil,1,
halfling,14,3,8,16,138,101,170,good,0,
human,11,12,12,25,208,88,289,neutral,0,157.0
lizard,14,19,2,16,223,125,825,evil,0,
halfling,12,11,14,16,152,131,207,good,0,
wingedrat,15,8,13,13,130,227,1043,evil,1,
human,17,11,16,27,220,99,307,neutral,0,154.0
halfling,14,12,14,10,148,99,173,good,0,
human,13,18,13,21,211,105,324,neutral,0,149.0
wingedrat,17,11,11,15,154,226,1034,evil,1,
human,10,18,10,18,211,98,305,neutral,0,144.0
lizard,19,17,5,15,221,143,820,evil,0,
halfling,12,15,11,15,112,117,173,good,0,
wingedrat,13,10,11,17,136,202,978,evil,1,
lizard,19,12,2,18,217,121,827,evil,0,
orc,21,25,15,11,341,306,2183,evil,0,
halfling,15,12,12,8,132,107,173,good,0,
halfling,10,4,16,15,137,107,175,good,0,
wingedrat,13,14,17,13,147,206,1016,evil,1,
wingedrat,13,13,22,13,183,220,1085,evil,1,
wingedrat,14,12,13,5,130,203,977,evil,1,
orc,27,20,11,14,318,314,2037,evil,0,
orc,22,20,6,7,358,348,2369,evil,0,
orc,22,21,12,10,331,341,2397,evil,0,
orc,21,19,11,6,332,318,2236,evil,0,
orc,20,26,8,12,320,318,2125,evil,0,
orc,21,20,14,9,335,320,2177,evil,0,
lizard,19,16,-2,14,213,133,870,evil,0,
halfling,15,6,11,15,132,106,172,good,0,
wingedrat,16,14,13,13,156,209,1028,evil,1,
human,8,15,12,15,214,99,295,neutral,0,135.0
lizard,20,11,-4,12,210,130,789,evil,0,
halfling,9,10,8,18,120,111,171,good,0,
wingedrat,8,16,10,11,145,178,872,evil,1,
halfling,14,7,11,15,122,86,147,good,0,
lizard,23,17,11,11,226,124,817,evil,0,
human,12,10,8,22,226,93,289,neutral,0,143.0
human,17,9,8,16,199,99,288,neutral,0,133.0
human,15,9,14,18,232,91,311,neutral,0,134.0
lizard,16,11,5,14,220,110,822,evil,0,
halfling,17,8,13,13,146,124,197,good,0,
wingedrat,11,15,12,14,151,183,909,evil,1,
orc,26,21,4,9,365,355,2472,evil,0,
halfling,12,12,17,13,135,113,180,good,0,
halfling,13,10,9,12,106,117,170,good,0,
human,13,18,17,16,203,95,284,neutral,0,134.0
orc,19,24,11,4,350,332,2295,evil,0,
orc,13,13,8,13,345,325,2217,evil,0,
wingedrat,18,13,16,4,130,212,991,evil,1,
orc,21,13,11,9,319,338,2178,evil,0,
orc,13,21,11,11,322,327,2181,evil,0,
orc,21,19,9,7,344,375,2524,evil,0,
wingedrat,15,14,18,16,146,220,1063,evil,1,
orc,16,21,12,10,344,372,2496,evil,0,
lizard,23,16,5,17,214,136,837,evil,0,
orc,22,21,10,7,354,284,2061,evil,0,
wingedrat,7,7,17,11,173,187,960,evil,1,
human,14,10,16,14,226,123,357,neutral,0,128.0
wingedrat,14,18,10,9,173,259,1200,evil,1,
lizard,17,18,3,8,225,134,873,evil,0,
halfling,15,9,12,14,144,103,175,good,0,
lizard,21,17,0,13,220,123,825,evil,0,
orc,18,15,16,10,333,350,2351,evil,0,
halfling,10,5,8,17,144,123,195,good,0,
wingedrat,18,20,13,15,141,181,926,evil,1,
human,15,14,14,20,212,104,327,neutral,0,141.0
human,9,18,11,17,211,112,325,neutral,0,144.0
lizard,17,10,2,10,214,107,775,evil,0,
wingedrat,20,12,13,14,162,195,942,evil,1,
human,13,12,15,21,211,104,306,neutral,0,144.0
orc,28,17,12,10,360,311,2196,evil,0,
wingedrat,6,12,16,9,175,210,1074,evil,1,
halfling,12,7,14,12,136,132,200,good,0,
lizard,14,16,1,15,242,116,814,evil,0,
halfling,14,6,14,13,131,101,166,good,0,
halfling,17,15,12,15,139,130,199,good,0,
halfling,10,10,14,20,108,90,144,good,0,
lizard,16,17,12,7,231,143,930,evil,0,
human,9,17,16,21,219,109,335,neutral,0,151.0
orc,20,20,9,0,318,309,2003,evil,0,
lizard,14,16,5,10,211,128,778,evil,0,
wingedrat,13,18,16,12,150,199,949,evil,1,
human,12,8,14,18,214,93,291,neutral,0,140.0
lizard,15,15,6,15,207,113,740,evil,0,
lizard,12,17,-2,12,217,153,936,evil,0,
human,13,13,16,15,221,96,324,neutral,0,134.0
halfling,12,11,14,12,114,142,199,good,0,
lizard,17,14,5,11,205,115,779,evil,0,
orc,17,15,11,12,318,317,2127,evil,0,
halfling,12,4,11,15,148,118,192,good,0,
human,16,16,16,20,223,109,339,neutral,0,143.0
wingedrat,12,12,15,12,163,169,883,evil,1,
halfling,16,5,10,14,102,86,137,good,0,
lizard,24,18,4,10,217,157,926,evil,0,
human,11,15,13,21,214,105,314,neutral,0,150.0
human,14,16,13,14,210,110,322,neutral,0,129.0
halfling,9,10,10,12,125,102,164,good,0,
human,16,14,8,13,224,102,330,neutral,0,125.0
wingedrat,15,16,9,12,163,188,893,evil,1,
lizard,21,13,3,14,214,144,868,evil,0,
halfling,11,11,18,19,119,91,150,good,0,
human,11,10,14,19,216,104,318,neutral,0,138.0
lizard,22,16,3,16,215,129,812,evil,0,
lizard,14,13,5,11,214,130,810,evil,0,
human,16,14,16,25,218,105,313,neutral,0,150.0
lizard,22,14,1,11,217,129,824,evil,0,
lizard,20,13,-5,18,206,144,899,evil,0,
halfling,13,8,11,16,118,88,147,good,0,
wingedrat,17,12,19,13,167,255,1189,evil,1,
wingedrat,14,14,15,15,175,198,972,evil,1,
wingedrat,15,16,15,14,183,212,1041,evil,1,
wingedrat,12,17,18,10,156,217,1049,evil,1,
wingedrat,17,13,16,14,164,218,1105,evil,1,
orc,22,20,10,15,328,323,2172,evil,0,
wingedrat,10,15,11,12,175,194,1037,evil,1,
human,11,16,15,20,228,97,316,neutral,0,147.0
wingedrat,13,21,17,10,146,204,1013,evil,1,
lizard,16,14,-1,13,223,145,899,evil,0,
human,12,18,13,18,209,103,308,neutral,0,142.0
orc,18,27,12,6,300,318,2159,evil,0,
orc,20,16,12,12,311,328,2063,evil,0,
halfling,8,14,9,14,125,111,173,good,0,
halfling,12,9,10,16,123,91,152,good,0,
lizard,16,12,-3,17,220,120,822,evil,0,
halfling,11,11,15,11,126,112,175,good,0,
halfling,17,14,10,16,132,88,154,good,0,
wingedrat,18,9,17,15,152,214,1014,evil,1,
orc,16,16,6,9,360,357,2438,evil,0,
halfling,11,11,17,10,145,115,187,good,0,
human,10,9,16,22,204,108,308,neutral,0,149.0
human,12,11,11,24,220,98,325,neutral,0,156.0
lizard,11,19,2,8,222,122,783,evil,0,
human,14,10,12,23,203,117,333,neutral,0,149.0
human,13,11,11,22,221,110,323,neutral,0,152.0
orc,12,26,8,2,331,340,2259,evil,0,
lizard,22,11,-3,15,209,106,733,evil,0,
halfling,12,11,10,14,130,82,147,good,0,
human,13,15,11,28,214,112,323,neutral,0,169.0
orc,18,26,11,5,313,306,2072,evil,0,
human,15,7,10,14,211,109,322,neutral,0,125.0
wingedrat,16,15,16,12,150,176,841,evil,1,
lizard,17,11,4,13,198,132,786,evil,0,
halfling,11,13,15,15,134,86,153,good,0,
orc,20,19,7,1,351,310,2111,evil,0,
human,9,14,7,17,219,104,329,neutral,0,138.0
human,9,16,15,19,220,111,333,neutral,0,149.0
lizard,18,14,9,14,229,112,802,evil,0,
lizard,19,11,8,11,225,95,746,evil,0,
orc,22,15,11,11,345,323,2162,evil,0,
orc,24,14,14,10,351,326,2309,evil,0,
halfling,11,9,14,14,124,106,168,good,0,
orc,16,16,7,9,312,362,2357,evil,0,
wingedrat,13,16,14,10,149,192,954,evil,1,
wingedrat,17,13,15,17,147,238,1136,evil,1,
halfling,11,14,13,10,137,95,163,good,0,
halfling,12,15,14,13,137,126,194,good,0,
human,16,10,17,18,226,93,307,neutral,0,138.0
human,4,7,13,15,228,108,342,neutral,0,141.0
orc,19,18,6,8,291,306,2004,evil,0,
orc,18,14,7,5,324,357,2273,evil,0,
halfling,10,10,15,11,148,87,161,good,0,
halfling,14,8,12,16,150,91,166,good,0,
orc,15,15,10,-1,353,346,2356,evil,0,
halfling,10,7,10,17,102,77,128,good,0,
human,11,11,11,13,227,91,296,neutral,0,127.0
halfling,13,14,10,18,127,105,168,good,0,
orc,18,16,9,13,355,352,2334,evil,0,
wingedrat,16,16,13,12,150,220,1026,evil,1,
human,13,14,15,24,207,108,308,neutral,0,152.0
orc,27,16,12,11,328,361,2435,evil,0,
orc,23,23,11,8,340,333,2258,evil,0,
orc,22,12,12,14,364,317,2192,evil,0,
wingedrat,15,16,20,15,156,168,815,evil,1,
halfling,12,12,15,16,130,91,156,good,0,
lizard,19,16,3,12,222,125,836,evil,0,
human,7,15,15,13,223,113,340,neutral,0,135.0
orc,21,24,10,6,335,313,2135,evil,0,
orc,17,22,5,12,329,342,2398,evil,0,
wingedrat,13,15,14,12,155,202,990,evil,1,
halfling,10,6,15,14,113,126,182,good,0,
halfling,12,9,12,15,135,111,178,good,0,
lizard,18,15,6,11,222,144,863,evil,0,
lizard,16,17,6,15,218,119,786,evil,0,
human,10,13,12,16,213,118,327,neutral,0,139.0
wingedrat,12,16,14,12,162,181,903,evil,1,
lizard,17,15,4,11,225,152,918,evil,0,
orc,22,16,10,4,339,351,2243,evil,0,
lizard,16,12,1,14,209,127,853,evil,0,
lizard,20,16,3,11,209,111,791,evil,0,
human,9,8,11,24,235,109,338,neutral,0,153.0
orc,21,20,9,5,346,305,2222,evil,0,
wingedrat,13,16,13,7,147,195,951,evil,1,
lizard,11,16,-2,16,227,140,837,evil,0,
halfling,10,6,11,12,132,101,167,good,0,
halfling,10,5,13,16,119,80,139,good,0,
halfling,15,7,12,11,139,108,177,good,0,
orc,19,19,7,9,320,330,2152,evil,0,
human,13,16,12,19,235,114,349,neutral,0,144.0
halfling,14,9,9,15,123,121,182,good,0,
human,8,16,12,22,237,112,344,neutral,0,153.0
halfling,8,10,10,10,130,87,152,good,0,
orc,21,19,14,7,320,344,2302,evil,0,
halfling,10,4,11,16,112,100,156,good,0,
lizard,14,17,12,11,221,116,772,evil,0,
human,11,9,16,21,208,102,308,neutral,0,147.0
halfling,11,14,12,11,122,89,150,good,0,
wingedrat,10,12,7,13,155,203,945,evil,1,
wingedrat,17,16,17,14,145,202,1026,evil,1,
wingedrat,16,14,20,16,148,248,1107,evil,1,
orc,25,30,14,6,303,319,2132,evil,0,
human,13,15,7,24,208,106,312,neutral,0,154.0
human,16,15,9,15,236,99,326,neutral,0,128.0
orc,17,16,14,5,326,348,2292,evil,0,
halfling,8,15,10,16,131,120,185,good,0,
orc,16,21,12,10,345,322,2245,evil,0,
human,13,14,13,19,231,110,336,neutral,0,141.0
orc,22,21,10,6,363,330,2253,evil,0,
halfling,12,8,16,15,124,115,177,good,0,
human,16,16,13,22,219,101,304,neutral,0,147.0
human,13,14,18,18,211,103,311,neutral,0,140.0
wingedrat,14,16,19,12,154,218,967,evil,1,
halfling,13,8,8,12,143,90,161,good,0,
wingedrat,13,17,16,11,185,204,1006,evil,1,
orc,16,23,8,15,354,353,2425,evil,0,
wingedrat,15,11,13,16,179,216,1081,evil,1,
lizard,16,8,2,14,212,112,760,evil,0,
wingedrat,16,16,12,12,148,191,905,evil,1,
orc,21,23,14,7,301,362,2173,evil,0,
lizard,16,11,3,15,201,119,773,evil,0,
lizard,18,11,-4,11,225,118,800,evil,0,
human,8,10,13,25,204,104,303,neutral,0,161.0
orc,22,17,6,9,309,362,2404,evil,0,
human,16,12,15,22,216,109,335,neutral,0,144.0
lizard,18,14,-3,11,216,116,736,evil,0,
halfling,10,10,9,17,132,104,170,good,0,
halfling,15,9,12,16,119,92,151,good,0,
wingedrat,16,11,19,5,159,229,1030,evil,1,
halfling,14,7,15,13,138,114,183,good,0,
halfling,14,15,11,13,122,124,185,good,0,
orc,24,11,12,5,334,355,2413,evil,0,
halfling,13,11,6,15,145,83,155,good,0,
lizard,11,16,-2,9,188,137,823,evil,0,
